bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
MM Sharma,3448,2403,134,400.5,8.60923845193508,10.052044609665428,7.723577235772358,8.013986013986013,807,738,858,2403
MN Samuels,279,214,9,35.666666666666664,7.822429906542056,10.038461538461538,8.071428571428571,6.076923076923077,52,84,78,214
MP Stoinis,1425,888,44,148.0,9.628378378378379,12.804878048780488,8.87787610619469,9.018867924528301,164,565,159,888
MP Yadav,179,121,9,20.166666666666668,8.87603305785124,6.947368421052632,7.7272727272727275,12.0,19,66,36,121
MR Marsh,769,560,37,93.33333333333333,8.239285714285714,10.661157024793388,7.243243243243243,8.60377358490566,121,333,106,560
MS Gony,1278,888,37,148.0,8.635135135135135,10.45,7.808510638297872,8.666666666666666,120,282,486,888
MW Short,24,24,0,4.0,6.0,,5.5,6.5,0,12,12,24
Mandeep Singh,26,12,0,2.0,13.0,,13.0,,0,12,0,12
Mashrafe Mortaza,51,24,0,4.0,12.75,13.0,,12.5,12,0,12,24
Mayank Dagar,200,137,2,22.833333333333332,8.75912408759124,7.764705882352941,8.277777777777779,14.5,17,108,12,137
Mohammad Asif,299,192,8,32.0,9.34375,10.2,7.714285714285714,9.533333333333333,60,42,90,192
Mohammad Hafeez,64,60,2,10.0,6.4,,6.4,,0,60,0,60
Mohammad Nabi,524,417,15,69.5,7.539568345323741,10.0,8.157894736842104,6.392857142857143,21,228,168,417
Mohammed Shami,3688,2615,133,435.8333333333333,8.461950286806884,10.506666666666666,8.337662337662337,7.566982408660351,675,462,1478,2615
Mohammed Siraj,3232,2300,110,383.3333333333333,8.431304347826087,9.646706586826348,7.293333333333333,8.17766497461929,668,450,1182,2300
Mohit Rathee,29,12,0,2.0,14.5,,14.5,,0,12,0,12
Mohsin Khan,672,486,27,81.0,8.296296296296296,10.043478260869565,7.368421052631579,7.717948717948718,138,114,234,486
Monu Kumar,14,12,0,2.0,7.0,9.0,,5.0,6,0,6,12
Mujeeb Ur Rahman,593,446,20,74.33333333333333,7.9775784753363235,11.416666666666666,7.410256410256411,7.1571428571428575,72,234,140,446
Mukesh Choudhary,498,315,17,52.5,9.485714285714286,12.588235294117647,8.285714285714286,9.0,51,42,222,315
Mukesh Kumar,1072,636,37,106.0,10.11320754716981,12.275,8.909090909090908,8.75,240,132,264,636
Musheer Khan,27,12,1,2.0,13.5,,13.5,,0,12,0,12
Mustafizur Rahman,1810,1365,65,227.5,7.956043956043956,8.822916666666666,7.638036809815951,7.101511879049675,576,326,463,1365
N Burger,145,102,7,17.0,8.529411764705882,4.0,8.5,9.9,18,24,60,102
N Rana,266,192,10,32.0,8.3125,6.782608695652174,8.458333333333334,8.879999999999999,23,144,25,192
N Thushara,266,180,9,30.0,8.866666666666667,8.636363636363637,10.333333333333334,8.75,66,18,96,180
N Wadhera,22,17,0,2.8333333333333335,7.764705882352941,10.799999999999999,6.5,,5,12,0,17
NA Saini,809,592,18,98.66666666666667,8.199324324324325,9.13953488372093,7.925925925925926,7.744186046511628,172,162,258,592
NB Singh,17,24,1,4.0,4.25,,,4.25,0,0,24,24
ND Doshi,78,56,2,9.333333333333334,8.357142857142856,5.5,8.076923076923077,10.666666666666666,12,26,18,56
NJ Rimmington,20,18,0,3.0,6.666666666666667,,6.0,7.0,0,6,12,18
NL McCullum,35,30,0,5.0,7.0,,7.666666666666667,6.0,0,18,12,30
NLTC Perera,1010,698,31,116.33333333333333,8.681948424068768,11.165217391304347,7.520833333333333,7.366666666666666,230,288,180,698
NM Coulter-Nile,1079,857,48,142.83333333333334,7.554259043173862,9.096774193548386,6.771084337349397,7.033333333333333,248,249,360,857
NT Ellis,533,378,19,63.0,8.46031746031746,10.695652173913043,7.260869565217392,7.0588235294117645,138,138,102,378
Naman Dhir,75,52,0,8.666666666666666,8.653846153846155,4.0,10.76470588235294,6.0,12,34,6,52
Navdeep Saini,131,72,6,12.0,10.916666666666666,6.0,11.666666666666666,12.25,12,36,24,72
Naveen-ul-Haq,576,388,25,64.66666666666667,8.90721649484536,9.1875,7.142857142857143,9.625,160,84,144,388
Nithish Kumar Reddy,242,139,5,23.166666666666668,10.446043165467625,13.741935483870966,9.6,9.0,31,90,18,139
Noor Ahmad,1041,792,47,132.0,7.886363636363637,7.653543307086614,7.895253682487725,8.333333333333334,127,611,54,792
O Thomas,81,60,5,10.0,8.1,7.5,4.5,9.5,12,12,36,60
OC McCoy,237,162,11,27.0,8.777777777777779,8.4,9.31764705882353,7.0,65,85,12,162
OF Smith,173,90,6,15.0,11.533333333333333,14.666666666666666,12.0,7.0,18,54,18,90
P Amarnath,241,132,7,22.0,10.954545454545455,13.333333333333334,10.5,12.0,18,108,6,132
P Awana,1007,747,39,124.5,8.088353413654618,10.350877192982455,7.03921568627451,7.844444444444444,171,306,270,747
P Dubey,111,78,2,13.0,8.538461538461538,11.0,8.333333333333334,,6,72,0,78
P Kumar,3197,2524,90,420.6666666666667,7.5998415213946116,10.378378378378377,7.666666666666667,6.538167938931298,592,360,1572,2524
P Negi,937,716,35,119.33333333333333,7.85195530726257,11.025,7.333333333333333,9.142857142857142,80,594,42,716
